pressuposto  pretexto
pretender  visar
progressão  progresso
prorrogar-se  protrair-se
proteger-se  velar-se
provimento  tento
pugnador  pugnaz
pundonoroso  reto
puxar  tender
queimar  requeimar
quietude  suavidade
quitar-se  separar-se
rabeira  viso
rabo  rasto
ranger  rechinar
rasar  rasoirar
rateio  repartição
reabastecimento  refornecimento
rebentar  vir
rebrilhante  resplandente
recondicionar  reparar
redutivo  redutor
refrear-se  vencer-se
reger  regular
registar  titular
regougar  rosnar
regularidade  uniformidade
relembrar  revivescer
remover  transferir
repetir  voltar
reportar-se  temperar-se
ressaído  ressaltado
ressequido  torrado
ressoar  rimbombar
restabelecimento  restauro
restrugir  zonzear
retirar-se  vazar
retransir  transpassar
rever-se  ver-se
rigidez  severidade
rinha  rixa
roldão  sarrabulhada
roubar  sonegar
rumor  runrum
sacerdote  tonsurado
sacudida  tremor
safar  sobnegar
sandio  tolo
sapateado  sapateio
selvagem  silvícola
semi-aberto  semicerrado
septuagenário  setuagenário
seqüência  transcorrência
sibilar  tinir
silencioso  taciturno
sinopse  súmula
sobreabundar  superabundar
sobreexcedido  ultrapassado
socalcar  suplantar
solução  terminação
sovinice  tacanhice
subtilidade  talento
sucedimento  sucesso
sugerir  suscitar
suspensão  transporte
teste  verificação
transferir  transpassar
transgredir  travessar
traça  traçado
vaivém  volta
verdejante  verdoso
versejar  versificar
vário  volátil
zabumbar  zupar
âmago  bojo
